Url,Title,ReviewDate,ClaimDate,Labels,LanguageCode,PublisherName,Text_en,Claimant_en
https://www.animalpolitico.com/elsabueso/es-falso-que-en-mexico-ya-se-tenga-confirmada-una-muerte-por-el-nuevo-coronavirus/,Es falso que en México ya se tenga confirmada una muerte por el nuevo coronavirus,22/01/2020,22/01/2020,FALSE,es,Animal Político,Monterrey person dies coronavirus,Unknown Source
https://healthfeedback.org/claimreview/contrary-to-claims-in-viral-social-media-posts-wuhan-coronavirus-was-not-lab-created-nor-was-it-patented-years-before-outbreak/,"Contrary to claims in viral social media posts, 2019 coronavirus was not lab-created nor was it patented years before outbreak",23/01/2020,24/01/2020,PARTIALLY FALSE,en,Health Feedback,[The coronavirus is] “new” yet it was lab-created and patented in 2015,"chris kirckof, jordan sather"
https://factual.afp.com/ar/node/7770,Saline solution kills China coronavirus? Experts refute online rumour,24/01/2020,22/01/2021,FALSE,fr,AFP Factual,Drinking saline solution can protect you from coronavirus that broke out in Wuhan,multiple sources
https://factcheck.afp.com/coronavirus-plaguing-china-was-not-created-us-government-agency,,24/01/2020,22/01/2020,FALSE,en,AFP Fact Check,The CDC created and patented the coronavirus from Wuhan,chris kirckof
https://www.factcheck.org/2020/01/social-media-posts-spread-bogus-coronavirus-conspiracy-theory/,Social Media Posts Spread Bogus Coronavirus Conspiracy Theory,24/01/2020,21/01/2020,FALSE,en,FactCheck.org,"“The new fad disease called the ‘coronavirus’ is sweeping headlines. Funny enough, there was a patent for the coronavirus was filed in 2015 and granted in 2018.”",multiple social media
https://healthfeedback.org/claimreview/the-2019-coronavirus-outbreak-is-caused-by-a-novel-virus-past-mentions-of-coronaviruses-refer-to-different-strains/,"The 2019 coronavirus outbreak is caused by a novel virus, past mentions of coronaviruses refer to different strains",24/01/2020,02/04/2020,PARTIALLY FALSE,en,Health Feedback,coronavirus is not a new virus,anonymous
https://www.boomlive.in/health/coronavirus-patented-why-social-media-posts-are-misleading-6661,Coronavirus Patented? Why Social Media Posts Are Misleading,25/01/2020,25/01/2020,PARTIALLY FALSE,en,BOOM,The Coronavirus is patented by the US,multiple social media
https://healthfeedback.org/claimreview/15-fatality-rate-from-coronavirus-2019-ncov-infection-was-based-only-on-initial-cases-actual-rate-closer-to-3-mike-adams-natural-news/,"""15% fatality rate"" from coronavirus (2019-nCoV) infection was based only on initial cases; actual rate closer to 3%",25/01/2020,25/01/2020,PARTIALLY FALSE,en,Health Feedback,Coronavirus hits 15% fatality rate,mike adams
https://colombiacheck.com/chequeos/no-comerciante-de-el-hueco-no-esta-internado-en-hospital-de-medellin-con-sintomas-del,"No, comerciante de El Hueco no está internado en hospital de Medellín ‘con síntomas del coronavirus’",26/01/2020,,FALSE,es,ColombiaCheck,"Trader ""the gap"" in Medellin have symptoms of Coronavirus",Unknown Source
https://cekfakta.tempo.co/fakta/580/fakta-atau-hoaks-benarkah-ada-penumpang-yang-meninggal-karena-virus-corona-di-bandara-soekarno-hatta,[Fakta atau Hoaks] Benarkah Ada Penumpang yang Meninggal karena Virus Corona di Bandara Soekarno-Hatta?,27/01/2020,27/01/2020,PARTIALLY FALSE,id,Cek Fakta Tempo.co,Photos are claimed as a photograph passengers who died in Terminal 3 of Soekarno-Hatta for the Corona virus,twitter users
https://factual.afp.com/el-mercado-del-video-esta-en-indonesia-no-en-china-donde-se-origino-la-nueva-cepa-del-virus,"El mercado del video está en Indonesia, no en China, donde se originó la nueva cepa del virus",27/01/2020,26/01/2020,FALSE,es,AFP Factual,The market originated in China where the coronavirus,multiple sources
https://politica.estadao.com.br/blogs/estadao-verifica/radialista-dos-eua-espalha-desinformacao-sobre-coronavirus-e-boatos-ja-circulam-em-portugues/,"Radialista dos EUA espalha desinformação sobre coronavírus, e boatos já circulam em português",27/01/2020,27/01/2020,FALSE,pt,Política - Estadão,"Coronavirus: 112,000 dead, 2.8 million infected and 30 million quarantined",it turner
https://piaui.folha.uol.com.br/lupa/2020/01/27/verificamos-coronavirus-infectou-28-milhoes-matou-112-mil-china/,"#Verificamos: É falso que coronavírus infectou 2,8 milhões e matou 112 mil na China | Agência Lupa",27/01/2020,27/01/2020,FALSE,pt,Uol,"*** THE TRUTH THAT HIDES CHINA: (Edition and translation of Sandra Valeria link) coronavirus in China: over 30 million quarantined, infected 2.8 million; 112,000 DEAD! People falling dead in the streets and trains! Supermarkets no groceries! - Hal Turner Radio Program",facebook users
https://factuel.afp.com/non-le-coronavirus-detecte-en-chine-na-pas-ete-cree-en-laboratoire-puis-brevete,"Non, le coronavirus détecté en Chine n'a pas été créé en laboratoire puis breveté",27/01/2020,25/01/2020,FALSE,fr,AFP Factuel,The coronavirus Wuhan was created and patented,mady aïssata merine
https://factual.afp.com/ar/node/7791,"No, this video shows a market selling wild animals in Indonesia’s Sulawesi island",27/01/2020,26/01/2020,FALSE,fr,AFP Factual,Market in Wuhan where coronavirus originated,multiple sources
https://www.factcheck.org/2020/01/comedian-sam-hyde-not-behind-spread-of-coronavirus/,Comedian Sam Hyde Not 'Behind' Spread of Coronavirus,27/01/2020,23/01/2020,FALSE,en,FactCheck.org,“[A]uthorities have identified that the international chemical-warfare terrorist ‘Samuel Whitcomb Hyde’ is behind the deadly China ‘coronavirus.'”,facebook users
https://www.factcheck.org/2020/01/misinformation-on-coronavirus-death-toll/,Misinformation on Coronavirus Death Toll,27/01/2020,24/01/2020,FALSE,en,FactCheck.org,"“CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.”",news media
https://ici.radio-canada.ca/nouvelle/1493617/coronavirus-laboratoire-complot-brevet-vaccin-bill-gates,"Non, le coronavirus n’a pas été inventé en laboratoire | Coronavirus",27/01/2020,21/01/2020,FALSE,fr,Radio-Canada.ca,The coronavirus happening in China was invented in the laboratory and a patent exists on this virus,jordan sather
https://factcheck.kz/health/manipulyaciya-izrailskij-ekspert-svyazal-koronavirus-s-biologicheskim-oruzhiem/,Манипуляция | Израильский эксперт связал коронавирус с биологическим оружием,27/01/2020,26/01/2020,PARTIALLY FALSE,ru,Factcheck.kz,Israeli expert Dany Shoham coronavirus linked to biological weapons,Unknown Source
https://www.truthorfiction.com/can-you-get-coronavirus-from-wish-com-products/,Can You Get Coronavirus from Wish.com Products?,27/01/2020,26/01/2020,PARTIALLY FALSE,en,Truth or Fiction?,"Wish.com ships all products from Wuhan, China, and Wish.com products might cause you to contract coronavirus.",person
https://www.ellinikahoaxes.gr/2020/01/27/giatros-den-katerreuse-eksaitias-tou-koronaiou/,Κίνα: Γιατρός ΔΕΝ κατέρρευσε εξαιτίας του κορωναϊού,27/01/2020,26/01/2020,FALSE,el,Ellinika Hoaxes,Doctor dies of the coronavirus in hospital in wuhan.,"despina vlepaki, lida kaloglou reportage open tv"
https://checamos.afp.com/o-mercado-do-video-fica-na-indonesia-e-nao-na-china-onde-surgiu-nova-cepa-do-coronavirus,"O mercado do vídeo fica na Indonésia, e não na China, onde surgiu a nova cepa do coronavírus",28/01/2020,27/01/2020,FALSE,pt,Checamos,"This video shows the Wuhan market, which would have emerged the new coronavirus",multiple sources
